sales_person,country,product,date,amount,boxes_shipped
Dotty Strutley,Usa,Raspberry Choco,2022-01-03,3437.0,46
Marney O'Breen,Australia,Smooth Sliky Salty,2022-01-03,3745.0,170
Andria Kimpton,Canada,Caramel Stuffed Bars,2022-01-03,7154.0,348
Dotty Strutley,Uk,99% Dark & Pure,2022-01-03,9310.0,282
Camilla Castle,Uk,White Choc,2022-01-03,9982.0,187
Marney O'Breen,Canada,Spicy Special Slims,2022-01-03,3528.0,336
Ches Bonnell,Uk,White Choc,2022-01-03,3269.0,226
Jehu Rudeforth,Uk,Mint Chip Choco,2022-01-04,5320.0,180
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-01-04,371.0,229
Dotty Strutley,New Zealand,Choco Coated Almonds,2022-01-04,5733.0,348
Jan Morforth,India,Peanut Butter Cubes,2022-01-04,8092.0,178
Rafaelita Blaksland,India,Spicy Special Slims,2022-01-04,8064.0,134
Ches Bonnell,Usa,Choco Coated Almonds,2022-01-04,14525.0,92
Gunar Cockshoot,Canada,50% Dark Bites,2022-01-04,3024.0,23
Jehu Rudeforth,Usa,99% Dark & Pure,2022-01-04,2534.0,219
Brien Boise,Australia,Baker'S Choco Chips,2022-01-04,12516.0,212
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-01-04,2226.0,46
Andria Kimpton,Canada,Organic Choco Syrup,2022-01-04,8204.0,204
Barr Faughny,India,Caramel Stuffed Bars,2022-01-04,6566.0,99
Jan Morforth,India,Eclairs,2022-01-05,2541.0,27
Gunar Cockshoot,New Zealand,Almond Choco,2022-01-05,5173.0,129
Madelene Upcott,Uk,Fruit & Nut Bars,2022-01-05,8512.0,189
Karlen Mccaffrey,Australia,White Choc,2022-01-05,7357.0,48
Madelene Upcott,Australia,Fruit & Nut Bars,2022-01-05,5579.0,92
Barr Faughny,Australia,Organic Choco Syrup,2022-01-07,2303.0,33
Kelci Walkden,India,After Nines,2022-01-07,1687.0,520
Curtice Advani,Australia,99% Dark & Pure,2022-01-07,4676.0,84
Marney O'Breen,India,Peanut Butter Cubes,2022-01-10,6489.0,146
Roddy Speechley,Canada,Organic Choco Syrup,2022-01-10,4032.0,82
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,7063.0,104
Ches Bonnell,Canada,Eclairs,2022-01-10,1876.0,172
Gigi Bohling,New Zealand,Smooth Sliky Salty,2022-01-10,700.0,97
Gigi Bohling,Uk,Almond Choco,2022-01-10,5642.0,9
Brien Boise,Uk,Peanut Butter Cubes,2022-01-10,15330.0,30
Curtice Advani,New Zealand,Spicy Special Slims,2022-01-10,4074.0,469
Mallorie Waber,Uk,Milk Bars,2022-01-10,3563.0,284
Dennison Crosswaite,Canada,Drinking Coco,2022-01-10,2702.0,24
Beverie Moffet,Canada,Baker'S Choco Chips,2022-01-11,13447.0,95
Dennison Crosswaite,Australia,Baker'S Choco Chips,2022-01-11,13846.0,421
Dennison Crosswaite,New Zealand,Drinking Coco,2022-01-11,4109.0,197
Kaine Padly,Australia,Manuka Honey Choco,2022-01-12,2765.0,264
Oby Sorrel,New Zealand,Milk Bars,2022-01-12,4494.0,187
Brien Boise,Usa,Raspberry Choco,2022-01-12,672.0,194
Ches Bonnell,Australia,70% Dark Bites,2022-01-12,3136.0,125
Beverie Moffet,New Zealand,Drinking Coco,2022-01-12,1141.0,518
Barr Faughny,India,Mint Chip Choco,2022-01-12,7413.0,465
Jan Morforth,Uk,50% Dark Bites,2022-01-12,5250.0,293
Jehu Rudeforth,Canada,Spicy Special Slims,2022-01-13,1848.0,27
Gunar Cockshoot,Uk,50% Dark Bites,2022-01-13,2107.0,121
Rafaelita Blaksland,Uk,Smooth Sliky Salty,2022-01-13,4704.0,62
Marney O'Breen,Uk,99% Dark & Pure,2022-01-13,8113.0,194
Mallorie Waber,Canada,Eclairs,2022-01-13,1442.0,286
Brien Boise,India,Almond Choco,2022-01-13,2170.0,218
Dennison Crosswaite,Canada,Choco Coated Almonds,2022-01-13,10479.0,118
Marney O'Breen,India,Eclairs,2022-01-13,3472.0,96
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,2674.0,295
Barr Faughny,New Zealand,Almond Choco,2022-01-13,5558.0,127
Wilone O'Kielt,India,Caramel Stuffed Bars,2022-01-13,4179.0,276
Marney O'Breen,Australia,Baker'S Choco Chips,2022-01-13,5810.0,101
Van Tuxwell,Usa,50% Dark Bites,2022-01-13,9737.0,160
Kelci Walkden,Canada,After Nines,2022-01-13,16702.0,198
Husein Augar,Uk,White Choc,2022-01-13,10815.0,145
Jehu Rudeforth,Australia,Spicy Special Slims,2022-01-13,5012.0,384
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,1869.0,158
Gunar Cockshoot,Australia,Drinking Coco,2022-01-14,2317.0,195
Kaine Padly,Uk,Manuka Honey Choco,2022-01-14,7133.0,118
Marney O'Breen,New Zealand,Milk Bars,2022-01-14,7490.0,315
Gigi Bohling,Usa,After Nines,2022-01-14,1848.0,227
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,5194.0,418
Jehu Rudeforth,Australia,Drinking Coco,2022-01-14,2611.0,65
Marney O'Breen,Canada,Orange Choco,2022-01-14,2723.0,425
Gigi Bohling,Usa,70% Dark Bites,2022-01-14,7364.0,196
Karlen Mccaffrey,India,White Choc,2022-01-17,7483.0,232
Van Tuxwell,New Zealand,Fruit & Nut Bars,2022-01-17,2996.0,88
Dotty Strutley,Canada,After Nines,2022-01-17,252.0,237
Andria Kimpton,India,After Nines,2022-01-17,952.0,68
Van Tuxwell,Australia,99% Dark & Pure,2022-01-17,112.0,128
Dotty Strutley,Australia,Spicy Special Slims,2022-01-17,8225.0,91
Ches Bonnell,Australia,Caramel Stuffed Bars,2022-01-17,8757.0,162
Karlen Mccaffrey,Australia,50% Dark Bites,2022-01-17,6678.0,708
Brien Boise,New Zealand,Organic Choco Syrup,2022-01-17,637.0,313
Dennison Crosswaite,Uk,Baker'S Choco Chips,2022-01-17,2275.0,275
Husein Augar,Canada,Eclairs,2022-01-17,3696.0,233
Madelene Upcott,New Zealand,Fruit & Nut Bars,2022-01-18,5677.0,21
Ches Bonnell,New Zealand,Mint Chip Choco,2022-01-18,9058.0,229
Marney O'Breen,New Zealand,Eclairs,2022-01-18,4914.0,31
Andria Kimpton,India,Organic Choco Syrup,2022-01-18,3955.0,134
Camilla Castle,Australia,99% Dark & Pure,2022-01-18,4669.0,101
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,1015.0,27
Curtice Advani,India,85% Dark Bars,2022-01-18,273.0,402
Kaine Padly,Canada,Manuka Honey Choco,2022-01-18,10213.0,135
Rafaelita Blaksland,Usa,Fruit & Nut Bars,2022-01-18,2604.0,65
Wilone O'Kielt,Usa,Smooth Sliky Salty,2022-01-18,504.0,87
Dennison Crosswaite,Usa,Raspberry Choco,2022-01-18,6524.0,257
Rafaelita Blaksland,Australia,Raspberry Choco,2022-01-19,6916.0,259
Kelci Walkden,Uk,Smooth Sliky Salty,2022-01-19,5929.0,175
Karlen Mccaffrey,Canada,Smooth Sliky Salty,2022-01-19,3017.0,184
Husein Augar,Canada,After Nines,2022-01-19,9772.0,301
Kaine Padly,New Zealand,Eclairs,2022-01-20,12894.0,48
Gigi Bohling,Usa,Spicy Special Slims,2022-01-21,10829.0,54
Gigi Bohling,New Zealand,After Nines,2022-01-21,5600.0,181
Kaine Padly,Uk,After Nines,2022-01-21,18697.0,176
